at.teamID,yearID,attendance,home_games,year_of_win,t_to_ws
ANA,2003,3061094,82,2002,1
ANA,2001,2000919,81,2002,-1
ANA,2000,2066982,81,2002,-2
ANA,1999,2253123,81,2002,-3
ANA,2002,2305547,81,2002,0
ARI,2000,2942251,81,2001,-1
ARI,2001,2736451,81,2001,0
ARI,1999,3019654,81,2001,-2
ARI,2002,3198977,81,2001,1
ARI,1998,3610290,81,2001,-3
ATL,1995,2561831,72,1995,0
ATL,1996,2901242,81,1995,1
ATL,1994,2539240,55,1995,-1
ATL,1993,3884720,81,1995,-2
ATL,1992,3077400,81,1995,-3
BAL,1964,1116215,82,1966,-2
BAL,1980,1797438,81,1983,-3
BAL,1966,1203366,79,1966,0
BAL,1983,2042071,81,1983,0
BAL,1984,2045784,81,1983,1
BAL,1967,955053,77,1966,1
BAL,1965,781649,79,1966,-1
BAL,1981,1024247,55,1983,-2
BAL,1982,1613031,82,1983,-1
BAL,1963,774343,81,1966,-3
BOS,1913,437194,75,1912,1
BOS,1912,597096,78,1912,0
BOS,2001,2625333,81,2004,-3
BOS,2011,3054001,81,2013,-2
BOS,2003,2724165,81,2004,-1
BOS,2014,2956089,81,2013,1
BOS,2004,2837294,81,2004,0
BOS,2013,2833333,81,2013,0
BOS,2005,2847888,81,2004,1
BOS,2002,2650862,81,2004,-2
BOS,2012,3043003,81,2013,-1
BOS,2010,3046443,81,2013,-3
BOS,1910,584619,80,1912,-2
BOS,1911,503961,76,1912,-1
BOS,1909,668965,75,1912,-3
BRO,1954,1020531,77,1955,-1
BRO,1956,1213562,77,1955,1
BRO,1953,1163419,78,1955,-2
BRO,1952,1088704,80,1955,-3
BRO,1955,1033589,77,1955,0
BSN,1914,382913,79,1914,0
BSN,1912,121000,79,1914,-2
BSN,1911,116000,75,1914,-3
BSN,1913,208000,77,1914,-1
BSN,1915,376283,78,1914,1
CHA,1916,679923,77,1917,-1
CHA,1917,684521,79,1917,0
CHA,1918,195081,56,1917,1
CHA,1914,469290,81,1917,-3
CHA,1915,539461,79,1917,-2
CHA,2002,1676911,81,2005,-3
CHA,1903,286183,70,1906,-3
CHA,1907,666307,79,1906,1
CHA,1904,557123,78,1906,-2
CHA,1905,687419,82,1906,-1
CHA,1906,585202,79,1906,0
CHA,2006,2957414,81,2005,1
CHA,2005,2342833,81,2005,0
CHA,2003,1939524,81,2005,-2
CHA,2004,1930537,81,2005,-1
CHN,2013,2642682,81,2016,-3
CHN,2017,3199562,81,2016,1
CHN,2015,2919122,81,2016,-1
CHN,2014,2652113,81,2016,-2
CHN,2016,3232420,81,2016,0
CHN,1906,654300,79,1907,-1
CHN,1907,422550,76,1907,0
CHN,1908,665325,78,1907,1
CHN,1905,509900,81,1907,-2
CHN,1904,439100,78,1907,-3
CIN,1940,850180,77,1940,0
CIN,1920,568107,77,1919,1
CIN,1917,269056,80,1919,-2
CIN,1916,255846,76,1919,-3
CIN,1941,643513,79,1940,1
CIN,1918,163009,71,1919,-1
CIN,1938,706756,77,1940,-2
CIN,1919,532501,70,1919,0
CIN,1937,411221,80,1940,-3
CIN,1939,981443,81,1940,-1
CIN,1988,2072528,80,1990,-2
CIN,1989,1979320,81,1990,-1
CIN,1972,1611459,76,1975,-3
CIN,1973,2017601,81,1975,-2
CIN,1987,2185205,81,1990,-3
CIN,1991,2372377,81,1990,1
CIN,1975,2315603,81,1975,0
CIN,1974,2164307,82,1975,-1
CIN,1990,2400892,81,1990,0
CIN,1976,2629708,81,1975,1
CLE,1921,748705,77,1920,1
CLE,1919,538135,69,1920,-1
CLE,1920,912832,78,1920,0
CLE,1917,477298,78,1920,-3
CLE,1918,295515,62,1920,-2
CLE,1949,2233771,77,1948,1
CLE,1947,1521978,78,1948,-1
CLE,1948,2620627,79,1948,0
CLE,1946,1057289,77,1948,-2
CLE,1945,558182,77,1948,-3
DET,1935,1034929,79,1935,0
DET,1936,875948,77,1935,1
DET,1934,919161,80,1935,-1
DET,1933,320972,78,1935,-2
DET,1932,397157,78,1935,-3
DET,1981,1149144,55,1984,-3
DET,1985,2286609,81,1984,1
DET,1966,1124293,81,1968,-2
DET,1984,2704794,82,1984,0
DET,1968,2031847,81,1968,0
DET,1967,1447143,82,1968,-1
DET,1983,1829636,81,1984,-1
DET,1965,1029645,81,1968,-3
DET,1982,1636058,81,1984,-2
DET,1969,1577481,81,1968,1
DET,1942,580087,77,1945,-3
DET,1943,606287,78,1945,-2
DET,1945,1280341,76,1945,0
DET,1946,1722590,79,1945,1
DET,1944,923176,78,1945,-1
FLO,1994,1937467,59,1997,-3
FLO,1996,1746767,81,1997,-1
FLO,1998,1730384,81,1997,1
FLO,1997,2364387,81,1997,0
FLO,1995,1700466,71,1997,-2
FLO,2000,1218326,81,2003,-3
FLO,2004,1723105,80,2003,1
FLO,2003,1303215,81,2003,0
FLO,2002,813118,81,2003,-1
FLO,2001,1261226,80,2003,-2
HOU,2016,2306623,81,2017,-1
HOU,2014,1751829,81,2017,-3
HOU,2017,2403671,81,2017,0
HOU,2018,2980549,81,2017,1
HOU,2015,2153585,81,2017,-2
KCA,1985,2162717,82,1985,0
KCA,1982,2284464,81,1985,-3
KCA,1984,1810018,81,1985,-1
KCA,1986,2320794,81,1985,1
KCA,1983,1963875,82,1985,-2
KCA,2014,1956482,81,2015,-1
KCA,2016,2557712,81,2015,1
KCA,2012,1739859,81,2015,-3
KCA,2013,1750754,81,2015,-2
KCA,2015,2708549,81,2015,0
LAN,1979,2860954,81,1981,-2
LAN,1980,3249287,82,1981,-1
LAN,1987,2797409,81,1988,-1
LAN,1986,3023208,81,1988,-2
LAN,1981,2381292,56,1981,0
LAN,1978,3347845,81,1981,-3
LAN,1982,3608881,81,1981,1
LAN,1988,2980262,81,1988,0
LAN,1985,3264593,81,1988,-3
LAN,1989,2944653,81,1988,1
MIN,1984,1598692,81,1987,-3
MIN,1987,2081976,81,1987,0
MIN,1986,1255453,81,1987,-1
MIN,1988,3030672,81,1987,1
MIN,1985,1651814,84,1987,-2
ML1,1954,2131388,77,1957,-3
ML1,1958,1971101,77,1957,1
ML1,1956,2046331,77,1957,-1
ML1,1957,2215404,78,1957,0
ML1,1955,2005836,77,1957,-2
NY1,1934,730851,75,1933,1
NY1,1919,708857,69,1921,-2
NY1,1951,1059539,78,1954,-3
NY1,1921,973477,79,1921,0
NY1,1952,984940,77,1954,-2
NY1,1920,929609,80,1921,-1
NY1,1931,812163,78,1933,-2
NY1,1930,868714,77,1933,-3
NY1,1922,945809,79,1921,1
NY1,1953,811518,77,1954,-1
NY1,1955,824112,79,1954,1
NY1,1918,256618,56,1921,-3
NY1,1933,604471,77,1933,0
NY1,1932,484868,77,1933,-1
NY1,1954,1155067,76,1954,0
NY1,1906,402850,75,1905,1
NY1,1905,552700,76,1905,0
NY1,1902,302875,71,1905,-3
NY1,1903,579530,70,1905,-2
NY1,1904,609826,84,1905,-1
NYA,1974,1273075,81,1977,-3
NYA,1975,1288048,78,1977,-2
NYA,1920,1289422,77,1923,-3
NYA,1922,1026134,77,1923,-1
NYA,1921,1230696,78,1923,-2
NYA,1924,1053533,78,1923,1
NYA,1923,1007066,76,1923,0
NYA,1976,2012434,80,1977,-1
NYA,2006,4248067,81,2009,-3
NYA,1993,2416942,81,1996,-3
NYA,2007,4271083,81,2009,-2
NYA,1978,2335871,81,1977,1
NYA,1996,2250877,80,1996,0
NYA,1997,2580325,80,1996,1
NYA,2008,4298655,81,2009,-1
NYA,1994,1675556,57,1996,-2
NYA,1977,2103092,81,1977,0
NYA,1995,1705263,73,1996,-1
NYA,2009,3719358,81,2009,0
NYA,2010,3765807,81,2009,1
NYN,1970,2697479,82,1969,1
NYN,1969,2175373,82,1969,0
NYN,1985,2761601,81,1986,-1
NYN,1986,2767601,81,1986,0
NYN,1987,3034129,81,1986,1
NYN,1983,1112774,82,1986,-3
NYN,1967,1565492,78,1969,-2
NYN,1968,1781657,82,1969,-1
NYN,1966,1932693,81,1969,-3
NYN,1984,1842695,81,1986,-2
OAK,1988,2287335,81,1989,-1
OAK,1987,1678921,81,1989,-2
OAK,1990,2900217,81,1989,1
OAK,1986,1314646,83,1989,-3
OAK,1972,921323,77,1972,0
OAK,1971,914993,81,1972,-1
OAK,1970,778355,81,1972,-2
OAK,1989,2667225,81,1989,0
OAK,1969,778232,81,1972,-3
OAK,1973,1000763,81,1972,1
PHA,1910,588905,78,1910,0
PHA,1926,714508,71,1929,-3
PHA,1909,674915,76,1910,-1
PHA,1928,689756,77,1929,-1
PHA,1927,605529,77,1929,-2
PHA,1929,839176,74,1929,0
PHA,1911,605749,75,1910,1
PHA,1930,721663,76,1929,1
PHA,1907,625581,73,1910,-3
PHA,1908,455062,78,1910,-2
PHI,1980,2651650,81,1980,0
PHI,1979,2775011,81,1980,-1
PHI,1978,2583389,82,1980,-2
PHI,1977,2700070,81,1980,-3
PHI,1981,1638752,55,1980,1
PHI,2005,2665304,81,2008,-3
PHI,2009,3600693,81,2008,1
PHI,2006,2701815,81,2008,-2
PHI,2007,3108325,81,2008,-1
PHI,2008,3422583,81,2008,0
PIT,1968,693485,81,1971,-3
PIT,1925,804354,77,1925,0
PIT,1924,736883,77,1925,-1
PIT,1958,1311988,77,1960,-2
PIT,1922,523675,78,1925,-3
PIT,1969,769369,81,1971,-2
PIT,1957,850732,77,1960,-3
PIT,1910,436586,76,1909,1
PIT,1923,611082,77,1925,-2
PIT,1961,1199128,77,1960,1
PIT,1926,798542,79,1925,1
PIT,1960,1705828,78,1960,0
PIT,1959,1359917,77,1960,-1
PIT,1907,319506,77,1909,-2
PIT,1906,394877,77,1909,-3
PIT,1908,382444,77,1909,-1
PIT,1978,964106,81,1979,-1
PIT,1980,1646757,81,1979,1
PIT,1971,1501132,80,1971,0
PIT,1972,1427460,78,1971,1
PIT,1979,1435454,81,1979,0
PIT,1977,1237349,81,1979,-2
PIT,1976,1025945,81,1979,-3
PIT,1909,534950,78,1909,0
PIT,1970,1341947,82,1971,-1
SFN,2009,2862110,81,2010,-1
SFN,2010,3037443,81,2010,0
SFN,2011,3387303,81,2010,1
SFN,2008,2863837,81,2010,-2
SFN,2007,3223215,81,2010,-3
SLN,1981,1010247,53,1982,-1
SLN,1982,2111906,81,1982,0
SLN,2004,3048427,81,2006,-2
SLN,2003,2910386,81,2006,-3
SLN,1983,2317914,81,1982,1
SLN,2005,3538988,81,2006,-1
SLN,1979,1627256,82,1982,-3
SLN,1980,1385147,81,1982,-2
SLN,2007,3552180,81,2006,1
SLN,2009,3343252,81,2011,-2
SLN,2010,3301218,81,2011,-1
SLN,2012,3262109,81,2011,1
SLN,2008,3432917,81,2011,-3
SLN,2006,3407104,80,2006,0
SLN,2011,3093954,81,2011,0
SLN,1930,508501,77,1931,-1
SLN,1961,855305,78,1964,-3
SLN,1963,1170546,81,1964,-1
SLN,1923,338551,78,1926,-3
SLN,1941,633645,79,1942,-1
SLN,1943,517135,81,1942,1
SLN,1927,749340,80,1926,1
SLN,1964,1143294,81,1964,0
SLN,1925,404959,76,1926,-1
SLN,1965,1241201,81,1964,1
SLN,1939,400245,79,1942,-3
SLN,1962,953895,81,1964,-2
SLN,1926,668428,79,1926,0
SLN,1942,553552,78,1942,0
SLN,1931,608535,78,1931,0
SLN,1929,399887,77,1931,-2
SLN,1940,324078,77,1942,-2
SLN,1928,761574,77,1931,-3
SLN,1932,279219,79,1931,1
SLN,1924,272885,77,1926,-2
TOR,1991,4001527,81,1992,-1
TOR,1993,4057947,81,1992,1
TOR,1990,3885284,81,1992,-2
TOR,1992,4028318,81,1992,0
TOR,1989,3375883,81,1992,-3
WS1,1921,456069,76,1924,-3
WS1,1924,584310,79,1924,0
WS1,1925,817199,76,1924,1
WS1,1923,357406,79,1924,-1
WS1,1922,458552,79,1924,-2
